,NatWalkInd,D3B_Ranked,D4A_Ranked,D2A_Ranked,D2B_Ranked,D3B
UOI_score,0.7991266779739203,0.8060051604923285,0.6520706715256532,0.1348678090209399,0.08230811840663717,0.8054744637144738
link_node_ratio,0.6901531071392034,0.7107570400052715,0.5457360626407793,0.1388057918538723,0.06350447058416588,0.7142937241282937
connected_node_ratio,0.6675451487184585,0.6847593344524571,0.5192519790579311,0.15400749634687905,0.06429919188671174,0.6867681673891454
intersection_density,0.8330052901441991,0.8405325486361409,0.7084948092659312,0.06737708574844245,0.0739723979614332,0.834784623701974
median_block_length_ft,-0.7361630065284529,-0.6800686470903388,-0.6245412227893411,-0.13465264826688464,-0.12534590127578518,-0.6783540163756976
walking_circuity,-0.34646300778439576,-0.3448465429083206,-0.3150139837244619,-0.08858070961168157,-0.010238737164327836,-0.35410525645852825
pedshed_reach,0.8203965424205651,0.8569369928980163,0.6820691274710193,0.06529291349131587,0.05618861087740541,0.8499986845224493
