GEOID,n_nodes,n_edges_dir,orientation_entropy,link_node_ratio,dead_end_frac,n_intersections,circuity_avg,reach_mean,reach_gini,n_reach_sources,uoi_connectivity,uoi_efficiency,uoi_accessibility,uoi_equity,status
01001020100,250,573,3.4031805690685806,1.164,0.328,147.0,1.0811320336357289,21.776,0.3517031594415871,250.0,1.164,0.9249564057750739,21.776,0.6482968405584129,ok
01001020200,209,540,2.935429863402508,1.2966507177033493,0.24880382775119617,147.0,1.0447851438526299,47.24401913875598,0.2792351087821382,209.0,1.2966507177033493,0.9571345897133593,47.24401913875598,0.7207648912178618,ok
01001020300,399,1004,2.8909371998087177,1.263157894736842,0.2581453634085213,269.0,1.0576591153049417,57.664160401002505,0.3138657666419178,399.0,1.263157894736842,0.945484216539544,57.664160401002505,0.6861342333580822,ok
01001020400,244,668,3.2960821475925344,1.3729508196721312,0.18442622950819673,188.0,1.0621702777935553,37.131147540983605,0.2434100531972642,244.0,1.3729508196721312,0.9414686335201343,37.131147540983605,0.7565899468027358,ok
01001020501,564,1504,3.0580180138529274,1.3563829787234043,0.17198581560283688,432.0,1.0836002101941336,88.94,0.37318120080953454,500.0,1.3563829787234043,0.9228495810469102,88.94,0.6268187991904655,ok
01001020502,342,865,2.781234846406009,1.2923976608187135,0.2046783625730994,248.0,1.0940478834391814,121.11695906432749,0.33642347866673106,342.0,1.2923976608187135,0.9140367758461008,121.11695906432749,0.6635765213332689,ok
01001020503,282,709,3.2772608388025475,1.2907801418439717,0.2198581560283688,197.0,1.0991107525813002,79.68085106382979,0.3455709267202605,282.0,1.2907801418439717,0.9098264189040685,79.68085106382979,0.6544290732797395,ok
01001020600,345,879,3.400306683916048,1.289855072463768,0.2289855072463768,245.0,1.0785804831611063,32.4,0.3293156070023675,345.0,1.289855072463768,0.9271445345174405,32.4,0.6706843929976325,ok
01001020700,556,1423,3.1620254282919755,1.2949640287769784,0.22841726618705036,393.0,1.0531562731399242,43.536,0.3842611172363102,500.0,1.2949640287769784,0.9495266994123845,43.536,0.6157388827636898,ok
01001020801,598,1384,3.2341709904338543,1.1789297658862876,0.3193979933110368,376.0,1.1270845048725444,18.87,0.4881803921568628,500.0,1.1789297658862876,0.8872449187943404,18.87,0.5118196078431372,ok
01001020803,574,1221,3.4688395964242376,1.0853658536585367,0.39547038327526135,313.0,1.0813142828469586,9.576,0.43918629908103585,500.0,1.0853658536585367,0.9248005097714341,9.576,0.5608137009189642,ok
01001020804,885,2024,3.1625440746026166,1.151412429378531,0.3694915254237288,526.0,1.0778891294119337,119.21,0.45947766127002776,500.0,1.151412429378531,0.9277392012901848,119.21,0.5405223387299722,ok
01001020805,388,858,3.349185972552314,1.1185567010309279,0.37371134020618557,223.0,1.0764222450971428,25.144329896907216,0.47183282399834303,388.0,1.1185567010309279,0.9290034691820718,25.144329896907216,0.528167176001657,ok
01001020901,457,1067,3.4035128469467284,1.1859956236323852,0.31072210065645517,300.0,1.0837289324506565,17.133479212253828,0.49137889115252736,457.0,1.1859956236323852,0.922739967584589,17.133479212253828,0.5086211088474726,ok
01001020902,383,862,3.4260093115100227,1.1383812010443863,0.34464751958224543,227.0,1.088414916881027,5.51958224543081,0.4482660665808696,383.0,1.1383812010443863,0.9187672683369777,5.51958224543081,0.5517339334191305,ok
