,mobility_kfr_p25,incarceration_p25,eviction_filing_rate,ped_fatal_per_100km2_yr,stable_job_share,job_density_per_sqkm
UOI_score,-0.11144025255134449,0.10546853399573934,0.23677998444105808,0.1441323874074311,0.03264678054228351,0.8125336029614083
link_node_ratio,-0.10982005670722708,0.11248810803401245,0.15854615432681787,0.12287214479163783,0.013376648550884374,0.6829193895218131
connected_node_ratio,-0.1243358754654751,0.12147545201101634,0.18611431868047296,0.13547786835478898,-0.0045887052389276956,0.6791288322640193
intersection_density,-0.08780365453355886,0.07742571767046595,0.30246508468447153,0.13820040464079958,0.0524585101195061,0.8717491165403424
median_block_length_ft,0.04186480619756908,-0.04602811339350378,-0.25869900499064247,-0.12731454364708025,-0.0853417220605606,-0.785298893759407
walking_circuity,0.12082490085100886,-0.08263140362769768,0.031558998107677524,-0.06606577962738225,0.01877154405185074,-0.2771727808932783
pedshed_reach,-0.1127709151794229,0.1011547424195181,0.3020618373214313,0.13945335958320718,0.04890474032357449,0.8519029936457079
