uoi_q,ped_deaths,pct_urban,pct_at_intersection,pct_arterial_or_higher,pct_local_road
Q1 low,6952,38.728144824384955,9.113414822837692,68.96178245396875,10.784465418536284
Q2,6867,82.58914728682171,18.6046511627907,77.72093023255813,10.403100775193797
Q3,6868,95.86559306286776,25.627129142149276,81.99132858470115,9.554041498916073
Q4,6854,97.47443445925008,30.63216609854354,82.22807561202356,9.497985745274248
Q5 high,6936,98.24996128232925,42.26420938516339,78.92210004646121,11.708223633266222
