GEOID,state,n_nodes,rhat_max,dtf
21067004205,21,946,2.102,0.1142
17031560900,17,1040,2.218,0.0446
42091205906,42,1037,2.554,0.5566
24009860502,24,919,4.224,0.9304
33017081200,33,1431,1.025,0.5508
32031003508,32,1356,1.112,0.294
12086007610,12,1190,1.271,0.3042
26081011804,26,1201,1.306,0.5738
53073001202,53,1410,1.37,0.5165
30111001100,30,1350,1.409,0.3813
06067001103,6,1448,1.5,0.1341
26145000700,26,1187,1.546,0.0511
16001000601,16,1120,1.597,0.0264
42011011101,42,1455,1.641,0.4573
45051030104,45,1147,1.711,0.5611
17031530200,17,1326,1.76,0.015
29075960100,29,1225,1.841,0.4299
06073020813,6,1262,1.895,0.73
27053101200,27,1263,1.985,0.0144
30111940001,30,1406,2.052,0.4488
53033004800,53,1764,2.159,0.2556
26125144100,26,1317,2.258,0.4551
27095970200,27,1355,2.572,0.4718
19153010707,19,1396,6.249,0.508
