GEOID,dtf_A,dtf_B,dtf_pool,abs_diff,energy_rhat
01031011203,0.8236750443928424,0.8302592657038455,0.8350264751030545,0.006584221311003002,1.5388479017459844
01097000802,0.9162345021808566,0.9169584282266563,0.9182237032251483,0.0007239260457997387,1.5972321855310436
05123960500,0.8780310583146048,0.8914346966804007,0.8900538443530317,0.013403638365795834,2.116884038778319
06001410000,0.8087474939326791,0.817641094964515,0.8153705614670208,0.008893601031835896,2.2094263316522387
06019001415,0.8639583122533644,0.8634321181921496,0.8683790052400997,0.0005261940612147908,1.6618939774398036
06019002800,0.6932429824373298,0.7103149968960891,0.7221133843637024,0.017072014458759277,1.5684791674235112
06037207902,0.031400208986415934,0.028700946156076212,0.03394972170197064,0.0026992628303397215,1.4071727341990348
06037272201,0.009021590369521992,0.00947326194957876,0.010482513261967474,0.0004516715800567672,1.2920735909572647
06037291110,0.8409247467195349,0.8373477763573975,0.8449069779209608,0.0035769703621373328,1.2934614212517783
06037542501,0.9363742171479243,0.9277829923033603,0.9389420319351676,0.008591224844564094,1.9825464881756418
06037670701,0.8242905904529013,0.8054328848721373,0.8260226963848872,0.01885770558076405,1.310517386176341
06067001103,0.06307499638745717,0.05187494184423558,0.06489292667099289,0.011200054543221594,1.2681293200571095
06073005302,0.023602675482432445,0.02556255173970856,0.02600813069716945,0.0019598762572761164,1.3208208488329731
06073020813,0.8520937573457805,0.8510649130250318,0.8541386045258621,0.0010288443207486786,1.7018925604480082
06075016601,0.003920597581610341,0.004279077349417126,0.006269999135172566,0.00035847976780678525,1.1483864518673776
06075026302,0.5320852120499249,0.5090014246859216,0.531055900621118,0.023083787364003294,1.092563935816471
06081604600,0.9351378171676904,0.897555232611615,0.934320835262048,0.03758258455607544,1.7315369284494302
06099003908,0.2858514478838621,0.2519320544505903,0.2906292616403663,0.03391939343327177,1.1269214872899225
06107001006,0.746449071940336,0.730214207603405,0.7497586366116777,0.016234864336931,1.4596480097541962
08123002206,0.6833219353735682,0.6693884458358894,0.6882161792372157,0.013933489537678811,1.86469489178128
11001008302,0.010204366909894014,0.009425832166325532,0.011971314021119173,0.000778534743568482,1.4056029664390755
12009069700,0.449178590355061,0.4718502817556739,0.485214338900117,0.02267169140061287,1.622437222645429
12057011708,0.6929185658568677,0.7007768793458812,0.7127230464210021,0.007858313489013447,1.2505671570062218
12073002507,0.9245003190370256,0.9266783420899007,0.9290832384651443,0.0021780230528751776,1.7620031143386368
12086004403,0.01129537550656734,0.009377664109121997,0.009850814258057228,0.001917711397445343,1.2353130813914788
12086006608,0.067839809115805,0.07631534711716259,0.0804425329636127,0.008475538001357585,1.8931162391315388
12086007610,0.23775750521101224,0.23939812111883652,0.24713766346519062,0.0016406159078242721,1.2931387663739284
12095016409,0.9469741531434899,0.9155953526742747,0.9458954255153434,0.03137880046921515,2.3114621397703106
12095017809,0.8931411447608525,0.8847826814333991,0.8916574567132188,0.00835846332745338,1.3396796920463765
12103022802,0.8153180652700982,0.8189632488378212,0.8224391599645643,0.0036451835677230315,1.156180038975075
13191110202,0.9321119421800151,0.9357839535039081,0.9351526704792482,0.003672011323892943,1.5441246912886202
15003003504,0.19165826612903236,0.1905056631800458,0.20764679687002996,0.0011526029489865586,1.3146866448871806
15003009509,0.9103308873488246,0.9078660053828055,0.9133388538691634,0.002464881966019128,1.1960468857119029
16001000601,0.011059216417007356,0.014020982449259645,0.014632597224936483,0.0029617660322522887,1.3249374683435593
17031031700,0.007149398800555429,0.007527722284953131,0.00785009624639088,0.00037832348439770236,1.442760796077515
17031040600,0.013624990710233598,0.01066227681398002,0.01403934045400601,0.002962713896253577,1.1500303071504536
17031062400,0.01113428020616114,0.010086062541376117,0.012666964394462243,0.0010482176647850228,1.6357269763760185
17031071000,0.004324908771455638,0.0035042844353497804,0.004494625402756358,0.0008206243361058574,1.2541708209122804
17031140302,0.00471264047293718,0.006430299097398451,0.006768289094226443,0.0017176586244612713,1.218421652692054
17031140602,0.0019198130269051372,0.002874169391414494,0.003002742890140131,0.0009543563645093567,1.1446881939526463
17031151100,0.003909050956445337,0.00443484193768473,0.004526758427353728,0.0005257909812393935,1.0876085967877793
