slug,pair,decade,metric,tau,se,t,p,n,n_seg,y_mean,h
chicago,B-C,1940,link_node_ratio,-0.017817676582927003,0.008429140930805252,-2.113818801843766,0.035361438287768394,1748,299,1.031130731887528,300.0
chicago,B-C,1940,connected_node_ratio,-0.021818650085279147,0.01556879053307398,-1.4014351364627913,0.16212809648976145,1743,298,0.5495871829580345,300.0
chicago,B-C,1940,intersection_density,-0.7473060909544588,2.0970981022333035,-0.35635247114029406,0.7218287839030337,1748,299,71.56247693347544,300.0
chicago,B-C,1940,median_block_length_ft,-9.092746974596627,4.274989068331277,-2.1269637955228595,0.034244369325761026,1748,299,256.64459110377584,300.0
chicago,B-C,1940,walking_circuity,0.0026389464764100573,0.011016117752005674,0.2395532197293,0.8108413165142424,1748,299,1.2504969836553708,300.0
chicago,B-C,1940,pedshed_reach,-8.033246955410362e-05,6.931067676250256e-05,-1.159020129458091,0.2473758710122152,1748,299,0.0028307908875843694,300.0
chicago,B-C,1950,link_node_ratio,-0.017817676582927003,0.008429140930805252,-2.113818801843766,0.035361438287768394,1748,299,1.031130731887528,300.0
chicago,B-C,1950,connected_node_ratio,-0.021818650085279147,0.01556879053307398,-1.4014351364627913,0.16212809648976145,1743,298,0.5495871829580345,300.0
chicago,B-C,1950,intersection_density,-0.7473060909544588,2.0970981022333035,-0.35635247114029406,0.7218287839030337,1748,299,71.56247693347544,300.0
chicago,B-C,1950,median_block_length_ft,-9.092746974596627,4.274989068331277,-2.1269637955228595,0.034244369325761026,1748,299,256.64459110377584,300.0
chicago,B-C,1950,walking_circuity,-0.00281473523683183,0.010091140599137374,-0.27893132685837746,0.7804909960425442,1748,299,1.2459141967845844,300.0
chicago,B-C,1950,pedshed_reach,-8.033246955410362e-05,6.931067676250256e-05,-1.159020129458091,0.2473758710122152,1748,299,0.0028307908875843694,300.0
chicago,B-C,1960,link_node_ratio,-0.017817676582927003,0.008429140930805252,-2.113818801843766,0.035361438287768394,1748,299,1.031130731887528,300.0
chicago,B-C,1960,connected_node_ratio,-0.021818650085279147,0.01556879053307398,-1.4014351364627913,0.16212809648976145,1743,298,0.5495871829580345,300.0
chicago,B-C,1960,intersection_density,-0.7473060909544588,2.0970981022333035,-0.35635247114029406,0.7218287839030337,1748,299,71.56247693347544,300.0
chicago,B-C,1960,median_block_length_ft,-9.092746974596627,4.274989068331277,-2.1269637955228595,0.034244369325761026,1748,299,256.64459110377584,300.0
chicago,B-C,1960,walking_circuity,-0.0008790204075215442,0.011842937683510782,-0.07422317257866064,0.9408826053646249,1748,299,1.2480537126716758,300.0
chicago,B-C,1960,pedshed_reach,-8.033246955410362e-05,6.931067676250256e-05,-1.159020129458091,0.2473758710122152,1748,299,0.0028307908875843694,300.0
chicago,B-C,1970,link_node_ratio,-0.017817676582927003,0.008429140930805252,-2.113818801843766,0.035361438287768394,1748,299,1.031130731887528,300.0
chicago,B-C,1970,connected_node_ratio,-0.021818650085279147,0.01556879053307398,-1.4014351364627913,0.16212809648976145,1743,298,0.5495871829580345,300.0
chicago,B-C,1970,intersection_density,-0.7473060909544588,2.0970981022333035,-0.35635247114029406,0.7218287839030337,1748,299,71.56247693347544,300.0
chicago,B-C,1970,median_block_length_ft,-9.092746974596627,4.274989068331277,-2.1269637955228595,0.034244369325761026,1748,299,256.64459110377584,300.0
chicago,B-C,1970,walking_circuity,0.005770172917406829,0.01134070294661984,0.5088020508575848,0.6112674721430174,1748,299,1.2453480669578711,300.0
chicago,B-C,1970,pedshed_reach,-8.033246955410362e-05,6.931067676250256e-05,-1.159020129458091,0.2473758710122152,1748,299,0.0028307908875843694,300.0
chicago,B-C,1980,link_node_ratio,-0.017817676582927003,0.008429140930805252,-2.113818801843766,0.035361438287768394,1748,299,1.031130731887528,300.0
chicago,B-C,1980,connected_node_ratio,-0.021818650085279147,0.01556879053307398,-1.4014351364627913,0.16212809648976145,1743,298,0.5495871829580345,300.0
chicago,B-C,1980,intersection_density,-0.7473060909544588,2.0970981022333035,-0.35635247114029406,0.7218287839030337,1748,299,71.56247693347544,300.0
chicago,B-C,1980,median_block_length_ft,-9.092746974596627,4.274989068331277,-2.1269637955228595,0.034244369325761026,1748,299,256.64459110377584,300.0
chicago,B-C,1980,walking_circuity,0.011390782846986709,0.011176930043608807,1.019133411638394,0.30896629679944637,1748,299,1.2467968994160856,300.0
chicago,B-C,1980,pedshed_reach,-8.033246955410362e-05,6.931067676250256e-05,-1.159020129458091,0.2473758710122152,1748,299,0.0028307908875843694,300.0
chicago,B-C,1990,link_node_ratio,-0.017817676582927003,0.008429140930805252,-2.113818801843766,0.035361438287768394,1748,299,1.031130731887528,300.0
chicago,B-C,1990,connected_node_ratio,-0.021818650085279147,0.01556879053307398,-1.4014351364627913,0.16212809648976145,1743,298,0.5495871829580345,300.0
chicago,B-C,1990,intersection_density,-0.7473060909544588,2.0970981022333035,-0.35635247114029406,0.7218287839030337,1748,299,71.56247693347544,300.0
chicago,B-C,1990,median_block_length_ft,-9.092746974596627,4.274989068331277,-2.1269637955228595,0.034244369325761026,1748,299,256.64459110377584,300.0
chicago,B-C,1990,walking_circuity,0.002193384636299205,0.009741023940844503,0.2251698229692523,0.8220014956700736,1748,299,1.245176144500287,300.0
chicago,B-C,1990,pedshed_reach,-8.033246955410362e-05,6.931067676250256e-05,-1.159020129458091,0.2473758710122152,1748,299,0.0028307908875843694,300.0
chicago,B-C,2000,link_node_ratio,-0.017817676582927003,0.008429140930805252,-2.113818801843766,0.035361438287768394,1748,299,1.031130731887528,300.0
chicago,B-C,2000,connected_node_ratio,-0.021818650085279147,0.01556879053307398,-1.4014351364627913,0.16212809648976145,1743,298,0.5495871829580345,300.0
chicago,B-C,2000,intersection_density,-0.7473060909544588,2.0970981022333035,-0.35635247114029406,0.7218287839030337,1748,299,71.56247693347544,300.0
chicago,B-C,2000,median_block_length_ft,-9.092746974596627,4.274989068331277,-2.1269637955228595,0.034244369325761026,1748,299,256.64459110377584,300.0
chicago,B-C,2000,walking_circuity,-0.007588222624217964,0.01115486573575342,-0.680261224471425,0.49686721811160706,1748,299,1.248512492350014,300.0
chicago,B-C,2000,pedshed_reach,-8.033246955410362e-05,6.931067676250256e-05,-1.159020129458091,0.2473758710122152,1748,299,0.0028307908875843694,300.0
chicago,B-C,2010,link_node_ratio,-0.017817676582927003,0.008429140930805252,-2.113818801843766,0.035361438287768394,1748,299,1.031130731887528,300.0
chicago,B-C,2010,connected_node_ratio,-0.021818650085279147,0.01556879053307398,-1.4014351364627913,0.16212809648976145,1743,298,0.5495871829580345,300.0
chicago,B-C,2010,intersection_density,-0.7473060909544588,2.0970981022333035,-0.35635247114029406,0.7218287839030337,1748,299,71.56247693347544,300.0
chicago,B-C,2010,median_block_length_ft,-9.092746974596627,4.274989068331277,-2.1269637955228595,0.034244369325761026,1748,299,256.64459110377584,300.0
chicago,B-C,2010,walking_circuity,0.013176578573345999,0.01060813869296503,1.2421197492529272,0.21516901476499692,1748,299,1.246671772853981,300.0
